,DBNOs,assists,boosts,damageDealt,deathType,headshotKills,heals,killPlace,killPoints,killPointsDelta,killStreaks,kills,lastKillPoints,lastWinPoints,longestKill,mostDamage,name,playerId,revives,rideDistance,roadKills,teamKills,timeSurvived,vehicleDestroys,walkDistance,weaponsAcquired,winPlace,winPoints,winPointsDelta
82,0,0,0,0,byplayer,0,0,92,1147,-11.1814146,0,0,0,0,0,0,a2739407649,account.5446f006935140be9b0fe44004922172,0,0,0,0,199,0,259.335541,0,28,1143,-11.8856382
83,1,0,1,79.59992,byplayer,0,2,74,1594,-23.7834778,0,0,0,0,0,0,Juice_Master007,account.9f55cb94b3b74516846a4c99e46d1464,0,616.7674,0,0,628,0,1042.41846,0,20,1461,-18.50689
84,0,0,3,0,byplayer,0,1,62,1108,1.19111943,0,0,0,0,0,0,FatD99,account.5fc77bd677594cf4bbcdea79e7ca09ee,0,4502.693,0,0,1055,0,2690.44751,0,14,1233,0.08449331
85,0,0,0,42.51553,byplayer,0,0,47,1280,-1.22017944,0,0,0,0,0,0,Anailaigh,account.3608d56ee53549579fd8b98bde333927,0,0,0,0,1325,0,4713.28857,0,6,1500,3.71235538
86,0,1,6,183.684357,byplayer,0,5,27,1412,6.022753,0,1,0,0,30,0,TheRooftop,account.a2af0d3e021b47018881f81316e2bbd1,1,4766.74951,0,0,1877,0,3358.19385,0,3,1328,25.7695389
87,2,0,0,46,byplayer,1,0,25,1244,18.3944473,0,2,0,0,8,0,Lizigg_,account.6506151e9e0a41fcb2fc7fa90568a4ad,0,0,0,0,214,0,140.523514,0,26,1144,-9.597976
88,2,0,2,233.420258,byplayer,0,12,20,1286,19.1334324,0,2,0,0,14,0,Vito-YeYe,account.e109d90625b343e0b624e7327b7e6000,1,5231.52,0,0,1321,0,1947.62854,0,11,1275,5.408756
89,1,0,0,80,byplayer,0,0,39,1220,7.120287,0,1,0,0,3,0,hong988,account.9487e1fa90104415a594c7e9b0371a86,0,0,0,0,357,0,441.035156,0,22,1349,-18.2762051
90,0,0,0,0,byplayer,0,0,69,1220,-7.084014,0,0,0,0,0,0,Styrigon,account.ab0c3fdb06974b10abe1fb92fcef6136,0,0,0,0,115,0,64.4189453,0,16,1182,1.05768991
91,1,0,3,42.71408,byplayer,0,23,45,1212,6.009801,0,0,0,0,0,0,Fire_Gosu,account.0bfb3776cd10456bada73eaba07291eb,0,4947.48535,0,0,1477,0,2477.69434,0,6,1298,17.2686443
92,0,0,0,133.8,byplayer,0,7,70,1390,-15.7000437,0,0,0,0,0,0,MrRihto,account.feb136d0cb4a4fcdacf95fbed67a2f40,0,0,0,0,715,0,1631.21094,0,17,1391,-12.4605331
93,0,0,1,59.8267059,byplayer,0,2,46,1302,-1.998816,0,0,0,0,0,0,TheMitch101,account.0df29bc7ca5441e78e18ab543d1daae7,1,0,0,0,1476,0,5165.142,0,6,1479,2.6760729999999997
94,1,1,3,380.207153,byplayer,0,1,7,1281,36.91725,0,3,0,0,64,0,yle7,account.bd2f87c40fb0427bbbd74204a8f211ec,0,908.1986,0,0,1839,0,3172.066,0,4,1312,20.9998131
95,1,1,1,94.78139,byplayer,0,0,18,1147,30.01955,0,2,0,0,51,0,kuangxiakun,account.505fcbac6f774e37b340d29d5aac341c,0,868.408,0,0,1177,0,2755.548,0,4,1304,26.8740749
96,2,1,9,203.483017,byplayer,0,27,31,1131,20.65805,0,1,0,0,4,0,Xiaogshou001,account.3da7570938f84561aff1a05472efc5e6,1,5252.06641,0,1,1321,0,1862.4209,0,11,1280,5.649523
97,0,0,0,0,byplayer,0,0,67,1300,-9.234336,0,0,0,0,0,0,PU-Souther,account.64e805f357c04357b4a85bd9eb586e6e,0,2465.17456,0,0,775,0,2393.113,0,16,1218,-1.08709061
98,1,1,2,124.28,byplayer,0,0,64,1299,-8.476345,0,0,0,0,0,0,AnhTu_,account.cd790af5fd3a4bb0a9a4ae5a9f6ecf5c,1,3918.30542,0,0,1055,0,2680.042,0,14,1240,0.3317098
99,0,0,1,17.8671513,byplayer,0,3,63,1000,5.050206,0,0,0,0,0,0,ZiZSionZiZ,account.a0211143bb354915901e3e2ac5ff03b6,0,4286.7876,0,0,1055,0,2699.0835,0,14,1000,12.834096
