,DBNOs,assists,boosts,damageDealt,deathType,headshotKills,heals,killPlace,killPoints,killPointsDelta,killStreaks,kills,lastKillPoints,lastWinPoints,longestKill,mostDamage,name,playerId,revives,rideDistance,roadKills,teamKills,timeSurvived,vehicleDestroys,walkDistance,weaponsAcquired,winPlace,winPoints,winPointsDelta
37abd18d-c4ec-4e39-af63-4828f33b98d3,0,0,0,0,byplayer,0,0,82,1870,-21.172987,0,0,0,0,0,0,shroud,account.d50fdc18fcad49c691d38466bed6f8fd,0,0,0,0,109,0,0,0,85,1298,-21.2791061
7831f8b2-da95-4137-93d8-6d06bc4ec299,0,0,2,614.0645,byplayer,1,2,2,1885,5.51720762,0,7,0,0,80,0,shroud,account.d50fdc18fcad49c691d38466bed6f8fd,0,0,0,0,271,0,327.5919,0,59,1325,-16.76264
620e4702-2faa-45d6-97a6-b3a2d4efd0c0,0,2,2,735.5927,byplayer,4,2,2,1885,5.450272,0,7,0,0,113,0,shroud,account.d50fdc18fcad49c691d38466bed6f8fd,0,0,0,0,480,0,607.08,0,42,1325,-7.00646353
4732c38a-75fc-4caa-99f6-8a8e0d979589,0,0,0,200,byplayer,0,0,26,1885,0,0,2,0,0,6,0,shroud,account.d50fdc18fcad49c691d38466bed6f8fd,0,0,0,0,92,0,9.339661,0,94,1325,0
53ef8f8f-f49d-46cf-9151-3555fa488732,0,0,0,0,byplayer,0,0,92,1876,-20.4264488,0,0,0,0,0,0,shroud,account.d50fdc18fcad49c691d38466bed6f8fd,0,0,0,0,142,0,0,0,94,1302,-20.34881
6caf1d67-520e-441e-aca3-02af78fefcf8,0,0,6,1206.34106,byplayer,5,6,1,1876,9.49807,0,12,0,0,186,0,shroud,account.d50fdc18fcad49c691d38466bed6f8fd,0,8407.395,0,0,1633,0,3382.209,0,7,1302,23.3136044
6ac521ad-b6b6-42aa-a55e-61f89b70b854,1,0,0,300,byplayer,2,0,12,1894,-2.56780958,0,3,0,0,5,0,shroud,account.d50fdc18fcad49c691d38466bed6f8fd,0,0,0,0,127,0,130.486542,0,45,1460,-27.3383732
93e2e8bf-bce2-4595-942e-a55d44fd3786,3,0,0,352.722656,byplayer,3,0,2,1885,3.94950843,0,5,0,0,15,0,shroud,account.d50fdc18fcad49c691d38466bed6f8fd,0,0,0,0,410,0,575.264832,0,36,1485,-15.5795689
2d2bfb0a-f9f3-40c6-9eac-29c0667f91d7,10,0,2,1333.94739,byplayer,5,6,1,1885,9.839862,0,11,0,0,146,0,shroud,account.d50fdc18fcad49c691d38466bed6f8fd,1,0,0,0,520,0,833.1917,0,34,1485,-16.1664734
2c23347b-48a3-4315-b701-01ab693163ba,3,0,0,355.235382,byplayer,2,1,4,1885,3.541435,0,7,0,0,35,0,shroud,account.d50fdc18fcad49c691d38466bed6f8fd,0,0,0,0,165,0,114.983864,0,44,1485,-25.1268559
1466e9c5-7cb7-48ed-8deb-99abc39477c5,4,1,0,354.044983,byplayer,1,0,23,1885,-7.710329,0,2,0,0,33,0,shroud,account.d50fdc18fcad49c691d38466bed6f8fd,1,0,0,0,132,0,58.6913147,0,42,1485,-30.0383244
e9ca10e3-a9e5-42e4-9c35-6ab481ce8f38,1,0,0,100,byplayer,0,0,91,1885,0,0,0,0,0,0,0,shroud,account.d50fdc18fcad49c691d38466bed6f8fd,0,0,0,0,89,0,5.52364635,0,47,1485,0
01a12f97-e42d-49d1-8d78-0210c9d869ca,4,0,0,731.3807,byplayer,6,0,1,1885,9.05534649,0,8,0,0,38,0,shroud,account.d50fdc18fcad49c691d38466bed6f8fd,0,0,0,0,238,0,408.785736,0,37,1485,-24.2936325
02841dc4-b60f-45c9-97fc-ebd76def36e0,0,0,0,60,byplayer,0,0,91,1874,0,0,0,0,0,0,0,shroud,account.d50fdc18fcad49c691d38466bed6f8fd,0,0,0,0,89,0,44.40409,0,47,1450,0
9fcacc60-18ad-4b0d-b1cc-7cb8a06b2a40,7,2,7,1323.4248,alive,2,9,1,1874,10.9551649,0,12,0,0,231,0,shroud,account.d50fdc18fcad49c691d38466bed6f8fd,1,3353.0647,0,0,1766,0,3818.78931,0,1,1450,34.1652336
f671691c-28b4-48ac-a4c8-4c93aab7c13d,0,1,0,418.71,byplayer,2,0,12,1877,-1.77205813,0,3,0,0,13,0,shroud,account.d50fdc18fcad49c691d38466bed6f8fd,0,0,0,0,108,0,18.1920776,0,87,1328,-25.5483627
aa089c48-b7e0-4ba9-8e57-f27e195012a1,3,0,0,500,byplayer,2,0,5,1882,2.010652,0,5,0,0,33,0,shroud,account.d50fdc18fcad49c691d38466bed6f8fd,0,0,0,0,159,0,89.03397,0,40,1509,-28.0033188
2997f2b8-c262-4948-a28c-432f8121a5e6,0,0,0,29.04,byplayer,0,0,80,1882,-20.4821644,0,0,0,0,0,0,shroud,account.d50fdc18fcad49c691d38466bed6f8fd,0,0,0,0,128,0,102.245087,0,39,1509,-30.7175426
3c513b11-db92-4edd-b407-76dde6b5f70f,2,1,2,810.4747,byplayer,2,1,1,1881,10.2920589,0,8,0,0,104,0,shroud,account.d50fdc18fcad49c691d38466bed6f8fd,2,1703.98328,0,0,1087,2,1967.64783,0,9,1520,-0.08142311
